Data,Último,Abertura
27.12.2000,15186.15,14804.50
28.12.2000,15259.29,15188.21
02.01.2001,15425.34,15242.11
03.01.2001,16599.42,15425.41
04.01.2001,16675.06,16596.78
05.01.2001,16409.81,16678.61
08.01.2001,16562.14,16397.80
09.01.2001,16975.64,16566.22
10.01.2001,16918.57,16964.42
11.01.2001,17023.58,16908.41
12.01.2001,16850.09,17034.19
15.01.2001,16962.75,16857.81
16.01.2001,16720.98,16973.28
17.01.2001,17191.02,16747.76
18.01.2001,17521.46,17203.66
19.01.2001,17530.09,17525.25
22.01.2001,17391.67,17548.35
23.01.2001,17832.13,17380.90
24.01.2001,17771.76,17849.16
26.01.2001,17889.05,17776.40
29.01.2001,17883.38,17905.91
30.01.2001,17722.58,17881.53
31.01.2001,17672.77,17724.71
01.02.2001,17038.74,17670.14
02.02.2001,16914.96,17026.67
05.02.2001,16731.24,16913.50
06.02.2001,17006.77,16734.37
07.02.2001,16812.35,17002.97
08.02.2001,17243.30,16814.08
09.02.2001,17138.40,17257.09
12.02.2001,16917.06,17162.89
13.02.2001,17095.78,16921.73
14.02.2001,17120.05,17077.86
15.02.2001,16937.19,17121.03
16.02.2001,16259.05,16934.18
19.02.2001,16060.76,16262.77
20.02.2001,15910.57,16065.78
21.02.2001,15593.86,15909.39
22.02.2001,15910.36,15604.27
23.02.2001,16157.75,15920.33
28.02.2001,15891.41,16157.83
01.03.2001,16416.58,15890.65
02.03.2001,16581.00,16422.56
05.03.2001,16537.24,16620.13
06.03.2001,16324.33,16573.33
07.03.2001,16395.21,16328.53
08.03.2001,16226.71,16401.21
09.03.2001,16123.44,16233.07
12.03.2001,15527.26,16125.38
13.03.2001,15584.14,15536.12
14.03.2001,15244.90,15582.70
15.03.2001,15060.87,15251.69
16.03.2001,15237.03,15075.63
19.03.2001,14835.90,15249.45
20.03.2001,14903.36,14853.80
21.03.2001,14852.68,14914.06
22.03.2001,14067.27,14846.93
23.03.2001,14435.08,14069.93
26.03.2001,14712.04,14443.13
27.03.2001,14835.40,14732.65
28.03.2001,14631.88,14845.79
29.03.2001,14282.18,14646.96
30.03.2001,14438.45,14291.63
02.04.2001,13981.30,14441.44
03.04.2001,13736.61,13987.67
04.04.2001,13854.76,13739.60
05.04.2001,14442.51,13865.23
06.04.2001,14484.51,14427.96
09.04.2001,14718.99,14488.91
10.04.2001,15047.76,14725.23
11.04.2001,14818.83,15057.35
12.04.2001,14969.37,14811.06
16.04.2001,14444.59,14974.28
17.04.2001,14336.90,14443.27
18.04.2001,14955.36,14344.94
19.04.2001,14431.08,14955.66
20.04.2001,13696.42,14408.28
23.04.2001,13892.65,13733.82
24.04.2001,14068.00,13893.98
25.04.2001,14162.75,14061.51
26.04.2001,14757.02,14204.33
27.04.2001,14927.95,14751.98
30.04.2001,14917.54,14944.26
